net,length_um
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W1BEG\[1\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W1BEG\[2\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W1BEG\[3\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEG\[0\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEG\[1\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEG\[2\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEG\[3\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEG\[4\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEG\[5\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEG\[6\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEG\[7\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEGb\[0\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEGb\[1\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEGb\[2\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEGb\[3\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEGb\[4\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEGb\[6\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEGb\[7\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W6BEG\[0\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W6BEG\[10\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W6BEG\[11\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W6BEG\[1\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W6BEG\[2\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W6BEG\[3\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W6BEG\[4\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W6BEG\[5\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W6BEG\[6\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W6BEG\[7\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W6BEG\[8\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W6BEG\[9\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[0\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[10\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[11\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[12\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[13\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[14\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[15\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[1\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[2\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[3\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[4\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[5\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[6\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[7\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[8\],4.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_WW4BEG\[9\],4.3µm
io_in[11],4.27µm
io_in[17],4.27µm
io_in[23],4.27µm
io_in[5],4.27µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S1BEG\[0\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S1BEG\[1\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S1BEG\[2\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S1BEG\[3\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S2BEG\[0\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S2BEG\[1\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S2BEG\[2\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S2BEG\[3\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S2BEG\[4\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S2BEG\[5\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S2BEG\[6\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S2BEGb\[0\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S2BEGb\[1\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S2BEGb\[2\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S2BEGb\[3\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S2BEGb\[4\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S2BEGb\[7\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[0\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[10\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[11\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[12\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[13\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[14\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[15\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[1\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[2\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[3\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[4\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[5\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[6\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[7\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[8\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_S4BEG\[9\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_SS4BEG\[0\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_SS4BEG\[10\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_SS4BEG\[11\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_SS4BEG\[12\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_SS4BEG\[14\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_SS4BEG\[15\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_SS4BEG\[1\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_SS4BEG\[2\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_SS4BEG\[3\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_SS4BEG\[4\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_SS4BEG\[5\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_SS4BEG\[6\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_SS4BEG\[7\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y4_SS4BEG\[9\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[0\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[10\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[11\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[12\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[13\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[14\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[15\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[18\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[19\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[1\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[2\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[3\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[4\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[5\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[6\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[7\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[8\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_FrameStrobe_O\[9\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N1BEG\[0\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N1BEG\[1\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N1BEG\[2\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N1BEG\[3\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N2BEG\[0\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N2BEG\[1\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N2BEG\[2\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N2BEG\[3\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N2BEG\[4\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N2BEG\[5\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N2BEG\[6\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N2BEG\[7\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N2BEGb\[0\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N2BEGb\[1\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N2BEGb\[2\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N2BEGb\[3\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N2BEGb\[5\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N2BEGb\[7\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N4BEG\[13\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N4BEG\[15\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N4BEG\[3\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N4BEG\[4\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N4BEG\[5\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N4BEG\[7\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N4BEG\[8\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_N4BEG\[9\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[0\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[10\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[11\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[12\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[13\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[14\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[15\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[1\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[2\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[3\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[4\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[5\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[6\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[7\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[8\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_NN4BEG\[9\],4.18µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y5_UserCLKo,4.18µm
io_in[10],3.93µm
io_in[16],3.93µm
io_in[26],3.93µm
io_in[4],3.93µm
_0280_,3.78µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S1BEG\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S1BEG\[1\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S1BEG\[2\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S1BEG\[3\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEG\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEG\[1\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEG\[2\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEG\[3\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEG\[4\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEG\[5\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEG\[6\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEG\[7\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEGb\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEGb\[1\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEGb\[2\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEGb\[3\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEGb\[4\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEGb\[5\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEGb\[6\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S2BEGb\[7\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[10\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[11\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[12\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[13\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[14\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[15\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[1\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[2\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[3\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[4\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[5\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[6\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[7\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[8\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_S4BEG\[9\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[10\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[11\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[12\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[13\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[14\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[15\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[1\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[2\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[3\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[4\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[5\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[6\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[7\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[8\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y10_SS4BEG\[9\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[10\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[11\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[12\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[13\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[14\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[15\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[16\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[17\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[18\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[19\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[1\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[2\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[3\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[4\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[5\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[6\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[7\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[8\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_FrameStrobe_O\[9\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N1BEG\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N1BEG\[1\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N1BEG\[2\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N1BEG\[3\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEG\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEG\[1\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEG\[2\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEG\[3\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEG\[4\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEG\[5\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEG\[6\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEG\[7\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEGb\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEGb\[1\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEGb\[2\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEGb\[3\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEGb\[4\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEGb\[5\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEGb\[6\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N2BEGb\[7\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[10\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[11\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[12\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[13\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[14\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[15\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[1\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[2\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[3\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[4\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[5\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[6\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[7\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[8\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_N4BEG\[9\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[10\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[11\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[12\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[13\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[14\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[15\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[1\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[2\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[3\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[4\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[5\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[6\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[7\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[8\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_NN4BEG\[9\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y11_UserCLKo,3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S1BEG\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S1BEG\[1\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S1BEG\[2\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S1BEG\[3\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEG\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEG\[1\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEG\[2\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEG\[3\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEG\[4\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEG\[5\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEG\[6\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEG\[7\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEGb\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEGb\[1\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEGb\[2\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEGb\[3\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEGb\[4\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEGb\[5\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEGb\[6\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S2BEGb\[7\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S4BEG\[0\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S4BEG\[10\],3.26µm
eFPGA_top_i.eFPGA_inst.Tile_X6Y12_S4BEG\[11\],3.26µm
